"code","country","sftgname","africa","agovdem60","agovdem70","agovdem80","assass60","assass70","assass80","blck60","blck70","blck80","cabchg60","cabchg70","cabchg80","compolt60","compolt70","compolt80","constchg60","constchg70","constchg80","corrupti","corruptm","coups60","coups70","coups80","deathsPC60","deathsPC70","deathsPC80","democ60","democ70","democ80","elf60","govtcris60","govtcris70","govtcris80","gunn1","gunn2","gyp60","gyp70","gyp80","latinca","lly60","lly70","lly80","lrgdp60","lrgdp70","lrgdp80","lrgdpsq60","lrgdpsq70","lrgdpsq80","lschool60","lschool70","lschool80","ltelpw60","ltelpw70","ltelpw80","muller","newspaperPC60","newspaperPC70","newspaperPC80","pavroad60","pavroad70","pavroad80","pop60","pop70","pop80","prop90","purges60","purges70","purges80","racialt","radiosPC60","radiosPC70","radiosPC80","revols60","revols70","revols80","riots60","riots70","riots80","roberts","rulelaw80","separt60","separt75","surp60","surp70","surp80","tvPC60","tvPC70","tvPC80","war60","war70","war80","warciv60","warciv70","warciv80","wdiinfmt60","wdiinfmt70","wdiinfmt80","wdilabag60","wdilabag70","wdilabag80","wditfert60","wditfert70","wditfert80"
"AAB","ANTIGUA AND BARBUDA","Antigua & Barbuda",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,26.55,NA,NA,NA,NA,2.4605,1.9907
"AFG","AFGHANISTAN","Afghanistan",0,0,1,0,0,2.92454551527e-05,3.05833345919e-05,0.580906748772,0.218055665493,1.05194950104,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0.00298685790039599,0,NA,4,7,NA,0,1,0,0.117647058823529,0.529411764705882,-0.00257149990648,0.0055585000664,-0.0117645002902,0,0.0872460007668,0.164792507887,0.112104997039,6.65286302567,6.63200187683,6.5496506691,44.2605857849,43.9834480286,42.8979225159,0.683096826077,0.548121392727,0.609765529633,NA,NA,NA,0.5,0.00581000000238419,0.00494999997317791,0.00793999992311001,NA,NA,12.5,13843200,15066000,17770800,NA,0,0,0,NA,0.00360465794801712,0.00708880927413702,0.035940982401371,0,0,1,0,0,1,0.646705894258989,NA,NA,NA,NA,NA,NA,0,0.000106199389847461,0.00364598096348345,0,1,1,0,1,1,207,191.533333333333,178.6,69.1411987304687,69.109765625,71.5971908569336,7.07,7.162,6.931
"ALB","ALBANIA","Albania",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,4,NA,0,0,0,0.00217485870234668,0,0,NA,7,7,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00523560209424079,0.0478300005197525,0.049830000847578,0.0475400015711784,NA,NA,NA,1839200,2411300,2906100,NA,0,0,0,2,0.0560026094317436,0.0780077129602432,0.151199206709862,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.000474119180580601,0.00163687637541443,0.0533240437507629,0,0,0,0,0,0,84.3571428571429,57.8666666666667,35.1866666666667,68.9781120300293,62.2401840209961,56.0545097351074,5.90666666666667,4.67333333333333,3.327
"ALG","ALGERIA","Algeria",0,NA,0,0,0,0,0,0.283062309027,0.606667876244,1.38427865505,NA,0,0,0,0,0,NA,0,0,3.4375,5,NA,0,0,0.674229323863983,0.000120447097287979,0,NA,6,6,0.430000007153,NA,0,0,0.153846153846154,0.153846153846154,0.00508999964222,0.0392604954541,-0.00282500032336,0,0.215038493276,0.589744508266,0.781759977341,7.42416524887,7.49164533615,8.01135540009,55.1182289124,56.12474823,64.1818161011,0.615185678005,0.5877866745,1.05431199074,3.55376625061,3.33876085281,3.95918321609,0.25,0.0136125003919005,0.0192900002002716,0.0298299994319677,NA,NA,53.3333333333333,12087875,16604800,22095200,0.21,NA,0,0,3,0.0897076651453972,0.0894078835844994,0.206171482801437,NA,0,0,NA,0,0,0.480927870864162,2,15,15,-0.058692574501,-0.0511603988707,NA,0.00761093245819211,0.0210841447114944,0.0603935234248638,1,0,0,1,0,0,155,127.733333333333,76.4,58.1058570861816,42.106392288208,31.3302848815918,7.43,7.32333333333333,6.012
"AND","","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANG","ANGOLA","Angola",1,NA,NA,0,NA,0,0,0.206669270992,1.41067552567,NA,NA,NA,0,1,0,0,NA,NA,1,3,8.666667,NA,NA,0,NA,1.3057553768158,0,NA,7,7,0.77999997139,NA,NA,0,1,0.555555555555556,0.0367859974504,-0.0568704977632,0.0217900015414,0,NA,NA,NA,7.1762547493,7.38150167465,6.83303165436,51.4986305237,54.4865684509,46.690322876,NA,NA,NA,1.20636034012,2.12109065056,2.27219057083,NA,NA,0.0209999997168779,0.0135000003501773,NA,NA,12.0689655172414,NA,6950000,8644700,0.47,NA,NA,0,2,NA,0.0174388494342566,0.0369590632617474,NA,NA,0,NA,NA,0,0.755464315903876,NA,NA,NA,NA,NA,NA,NA,0.000431654683779925,0.00431790575385094,1,1,1,0,1,1,193,170.4,145.3,79.8795593261719,77.480549621582,75.5802146911621,6.39,6.63866666666667,7.06
"ARG","ARGENTINA","Argentina",0,0,2,0,1.97000008484e-05,0.000189718179172,0,0.0626439079642,0.488373786211,0.315147519112,0,1,0,0,0,0,0,0,0,3.6875,7.666667,0,1,0,0.00642662029713392,0.17970322072506,0,NA,6,6,0.310000002384,2,4,0,0.0625,0.0625,0.0277440007776,0.0137905003503,-0.0234920009971,1,NA,0.215133503079,0.114119999111,8.12592697144,8.38160228729,8.43685054779,66.0306854248,70.2512588501,71.1804504395,1.79009139538,1.93007111549,2.03208780289,4.59219551086,4.73987531662,5.10650205612,0.272727272727273,0.149829998612404,0.138710007071495,0.133340001106262,NA,NA,27.2727272727273,22406800,25102500,29898800,0.0213,1,0,0,6,0.282726675271988,0.318537980318069,0.490976214408875,2,2,0,1,1,0,NA,2,0,0,NA,-0.0427870228887,-0.0373597741127,0.0698448717594147,0.16005377471447,0.207399860024452,0,1,1,0,1,0,58.5,46.2,30.7,18.4717653274536,14.5937216758728,12.5897699356079,3.07,3.23333333333333,3.119
"ARM","","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,35.6654802322387,24.3806589126587,19.5398349761963,3.93333333333333,2.7994,2.5035
"AUL","AUSTRALIA","Australia",0,0,5,0,7.80000027589e-06,6.62727279632e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1875,10,0,0,0,0,0,0,NA,1,1,0.319999992847,0,0,0,0.0588235294117647,0.0588235294117648,0.0310984998941,0.0179325006902,0.0172899998724,0,0.493537992239,0.501347005367,0.65451002121,8.88239192963,9.20813751221,9.36862564087,78.8968887329,84.7897949219,87.7711486816,2.29556059837,2.40604376793,2.40514159203,5.86116409302,6.21083879471,6.68831300735,0.0135413864227424,0.372819989919662,0.359149992465973,0.281899988651276,NA,NA,50,11280600,13450400,15698900,0.012,0,0,0,5,0.557293057441711,0.965948939323425,1.18666911125183,0,0,0,1,0,0,NA,6,0,0,NA,NA,NA,0.16941474378109,0.28851193189621,0.442597955465317,0,0,0,0,0,0,18.94,14.83,9.58888888888889,9.77407436370849,7.33042893409729,6.05029997825623,3.1393,2.3729,1.888
"AUS","AUSTRIA","Austria",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.25,8,0,0,0,0.00041528238216415,0.000266841001575813,0.000880099600180984,NA,1,1,0.129999995232,1,1,1,0,0,0.0373929962516,0.0377875007689,0.0190085005015,0,0.53900551796,0.608042955399,0.794335007668,8.40648460388,8.8218793869,9.17118358612,70.6689834595,77.825553894,84.1106109619,1.53686726093,1.93441581726,1.97685492039,5.01845645905,5.74632167816,6.43115520477,0.0028490028490028,0.241439998149872,0.319599986076355,0.357699990272522,NA,NA,100,7224000,7495100,7574900,NA,0,0,0,6,0.426425814628601,0.470093786716461,0.554291129112244,0,0,0,1,0,0,NA,6,0,0,-0.017960222438,-0.0243236590177,-0.0466890260577,0.102888979017735,0.323548704385757,0.427992314100266,0,0,0,0,0,0,29.72,20.98,11.09,19.5376888275147,12.4571921348572,8.90654516220093,2.6932,1.8894,1.527
